,證券代碼,年月日,開盤價(元),最低價(元),最高價(元),收盤價(元),成交量(千股),報酬率％,SMA,WMA,Momentum,Stoch K%,Stoch D%,RSI,MACD,LW R%,A/D oscillator,CCI
85,Y9999 加權指數,2013-05-15,8264.1,8251.51,8320.32,8318.59,4088508,0.8092,8224.761999999999,8254.716545454547,190.07999999999993,98.19375302876763,87.8199769930687,79.01110514280447,87.9888583838459,1.8062469712323725,0.9954948408661606,83.561047042079
86,Y9999 加權指數,2013-05-16,8362.49,8346.45,8414.88,8390.05,5599922,0.859,8250.916000000001,8284.768909090908,255.01999999999953,91.54896021238216,87.26218722824869,82.8747250268455,93.22428835595136,8.451039787617843,1.4071313751278856,162.13219695319802
87,Y9999 加權指數,2013-05-17,8377.26,8356.79,8402.34,8368.19,4376172,-0.2605,8274.232,8306.091454545454,199.14000000000033,82.69330565646123,86.82148930569022,77.99477931725367,97.98372118565824,17.306694343538766,0.26981339187708164,128.71729365993704
88,Y9999 加權指數,2013-05-20,8364.95,8347.33,8385.68,8377.05,3666858,0.1059,8295.032,8324.785636363637,213.98999999999887,85.9774631180962,86.4219828702471,78.5632306384269,102.11334229928877,14.022536881903802,0.4560625814863003,99.50939101471909
89,Y9999 加權指數,2013-05-21,8381.36,8361.96,8420.68,8383.05,4489778,0.0716,8317.030999999999,8340.788909090908,115.95999999999913,84.49781659388609,86.08548670489635,78.97196510388943,105.49471760133248,15.502183406113911,0.7430177111716647,95.0177742450789
90,Y9999 加權指數,2013-05-22,8414.06,8376.21,8439.15,8398.84,4750725,0.1884,8330.206,8355.663272727272,112.95000000000073,80.66666666666691,84.69045171550403,80.08243439024288,108.24132607093199,19.33333333333309,0.8913250714966621,91.90572188205586
91,Y9999 加權指數,2013-05-23,8367.85,8235.5,8373.09,8237.83,5514716,-1.9171,8325.4,8338.867636363637,-42.43000000000029,3.4436450839329935,76.15505975509978,50.10402059465384,107.63056884299547,96.55635491606701,-0.18715022894105657,-58.341468970680125
92,Y9999 加權指數,2013-05-24,8273.21,8172.54,8277.56,8209.78,4139883,-0.3405,8318.351999999999,8317.845818181817,-38.539999999999054,13.96796819324134,68.92757799326836,46.718701193841305,104.25466353660234,86.03203180675865,0.37830889354408437,-114.70812376162233
93,Y9999 加權指數,2013-05-27,8218.88,8210.32,8280.1,8280.1,3316386,0.8565,8321.53,8310.89090909091,28.280000000000655,40.34357300926467,65.3732575171376,55.158149974625644,100.20688458219762,59.65642699073533,1.0077386070507173,-73.6878731274951
94,Y9999 加權指數,2013-05-28,8289.15,8261.54,8303.71,8263.05,3512028,-0.2059,8322.653,8300.258181818182,-55.54000000000087,33.94846404861011,61.528161561130936,52.90077191333767,95.44976495124783,66.05153595138988,0.5598766895897496,-55.690848283523785
95,Y9999 加權指數,2013-05-29,8303.2,8303.2,8344.21,8337.9,4154548,0.9058,8324.583999999999,8303.030363636364,-52.149999999999636,62.02317992573417,57.91110425082759,60.73844307442803,91.47405911063586,37.976820074265824,1.9790295049988544,-0.2375532806591795
96,Y9999 加權指數,2013-05-30,8316.97,8228.8,8316.97,8243.29,4129262,-1.1347,8309.908,8288.249636363636,-124.89999999999964,26.536889088931773,51.40989713848255,49.23237876235955,86.47860618755423,73.46311091106823,-0.2373823295905668,-62.67696870366272
97,Y9999 加權指數,2013-05-31,8318.77,8237.08,8334.44,8254.8,5184520,0.1396,8298.569,8278.23,-122.25,30.854056487003266,46.22597222153676,50.499927731807695,81.09239853709727,69.14594351299674,0.9362161051766545,-39.00508099987191
98,Y9999 加權指數,2013-06-03,8177.97,8149.45,8225.79,8201.02,3626255,-0.6515,8280.966,8260.493818181818,-182.02999999999884,17.801173627891146,39.40834327251624,44.705130267358165,74.70077282942144,82.19882637210885,-0.38001047943408434,-126.06811963983286
99,Y9999 加權指數,2013-06-04,8243.22,8180.39,8250.17,8191.22,3625821,-0.1195,8261.783,8244.176363636363,-207.6199999999999,14.418363824646345,32.40039799559227,43.69006729267834,67.68741869487812,85.58163617535367,0.7043565491544829,-98.73608459010158
100,Y9999 加權指數,2013-06-05,8195.52,8161.1,8216.31,8181.91,3840086,-0.1137,8240.09,8229.654,-55.92000000000007,14.51439813986764,25.785171142912343,42.667449370651106,60.34921990850823,85.48560186013236,0.454446658214085,-109.73461402137403
101,Y9999 加權指數,2013-06-06,8135.56,8088.31,8162.25,8096.14,3916207,-1.0483,8225.921,8203.481272727273,-113.64000000000033,3.059788980070327,25.746785532526076,34.42053443533856,51.68613695786638,96.94021101992968,-0.2658912631863668,-162.37220523323228
102,Y9999 加權指數,2013-06-07,8113.95,8071.98,8146.78,8095.2,4194889,-0.0116,8214.463,8179.713818181818,-184.90000000000055,8.529552216875544,25.202943934889497,34.33971023928334,42.513975091514254,91.47044778312446,0.6770053475935734,-130.15060426946204
